#{"t_start": 1758191258.9625442, "env_id": "MountainCar-v0"}
r,l,t
-200.0,200,0.53433
-200.0,200,0.538187
-200.0,200,0.542079
-200.0,200,0.54804
-200.0,200,0.5527
-200.0,200,0.657156
-200.0,200,0.714338
-200.0,200,0.763241
-200.0,200,0.817775
-200.0,200,0.866181
-200.0,200,0.916864
-200.0,200,0.964473
-200.0,200,1.020114
-200.0,200,1.067324
-200.0,200,1.118114
-200.0,200,1.16539
-200.0,200,1.218644
-200.0,200,1.266134
-200.0,200,1.317183
-200.0,200,1.364144
-200.0,200,1.416728
-200.0,200,1.464805
-200.0,200,1.517057
-200.0,200,1.569823
-200.0,200,1.629345
-200.0,200,1.689991
-200.0,200,1.741601
-200.0,200,1.791083
-200.0,200,1.845564
-200.0,200,1.893215
-200.0,200,1.946683
-200.0,200,2.003211
-200.0,200,2.063195
-200.0,200,2.113096
-200.0,200,2.164609
-200.0,200,2.212714
-200.0,200,2.266992
-200.0,200,2.315454
-200.0,200,2.368522
-200.0,200,2.421797
-200.0,200,2.47979
-200.0,200,2.530465
-200.0,200,2.582846
-200.0,200,2.632447
-200.0,200,2.688183
-200.0,200,2.738285
-200.0,200,2.791353
-200.0,200,2.839839
-200.0,200,2.903699
-200.0,200,2.95412
-200.0,200,3.0079
-200.0,200,3.05713
-200.0,200,3.113056
-200.0,200,3.165458
-200.0,200,3.222302
-200.0,200,3.275413
-200.0,200,3.332991
-200.0,200,3.38448
-200.0,200,3.442852
-200.0,200,3.49765
-200.0,200,3.560422
-200.0,200,3.613496
-200.0,200,3.666099
-200.0,200,3.715074
-200.0,200,3.770588
-200.0,200,3.819403
-200.0,200,3.872027
-200.0,200,3.920543
-200.0,200,3.97496
-200.0,200,4.024218
-200.0,200,4.076204
-200.0,200,4.125135
-200.0,200,4.1807
-200.0,200,4.229287
-200.0,200,4.28199
-200.0,200,4.332607
-200.0,200,4.386928
-200.0,200,4.435954
-200.0,200,4.4888
-200.0,200,4.537847
-200.0,200,4.593256
-200.0,200,4.643946
-200.0,200,4.699506
-200.0,200,4.750363
-200.0,200,4.805119
-200.0,200,4.856494
-200.0,200,4.916075
-200.0,200,4.970661
-200.0,200,5.027942
-200.0,200,5.077947
-200.0,200,5.13103
-200.0,200,5.180347
-200.0,200,5.236014
-200.0,200,5.287737
-200.0,200,5.345782
-200.0,200,5.399537
-200.0,200,5.459727
-200.0,200,5.510883
-200.0,200,5.564524
-200.0,200,5.615106
-200.0,200,5.672523
-200.0,200,5.721993
-200.0,200,5.775364
-200.0,200,5.825768
-200.0,200,5.885416
-200.0,200,5.939791
-200.0,200,5.997319
-200.0,200,6.048893
-200.0,200,6.107146
-200.0,200,6.157789
-200.0,200,6.212386
-200.0,200,6.263761
-200.0,200,6.320341
-200.0,200,6.37037
-200.0,200,6.424875
-200.0,200,6.475554
-200.0,200,6.532035
-200.0,200,6.582794
-200.0,200,6.637075
-200.0,200,6.687481
-200.0,200,6.744549
