#{"t_start": 1758103160.906848, "env_id": "MountainCar-v0"}
r,l,t
-200.0,200,0.018835
-200.0,200,0.024612
-200.0,200,0.030077
-200.0,200,0.035748
-200.0,200,0.041643
-200.0,200,0.09634
-200.0,200,0.147099
-200.0,200,0.193947
-200.0,200,0.249897
-200.0,200,0.306529
-200.0,200,0.35928
-200.0,200,0.405534
-200.0,200,0.460507
-200.0,200,0.512081
-200.0,200,0.568176
-200.0,200,0.619039
-200.0,200,0.673055
-200.0,200,0.719465
-200.0,200,0.769771
-200.0,200,0.816245
-200.0,200,0.869135
-200.0,200,0.915785
-200.0,200,0.96641
-200.0,200,1.013152
-200.0,200,1.069153
-200.0,200,1.127742
-200.0,200,1.18985
-200.0,200,1.240221
-200.0,200,1.292846
-200.0,200,1.340529
-200.0,200,1.391138
-200.0,200,1.438195
-200.0,200,1.490302
-200.0,200,1.536691
-200.0,200,1.586772
-200.0,200,1.633174
-200.0,200,1.685461
-200.0,200,1.732554
-200.0,200,1.783491
-200.0,200,1.830928
-200.0,200,1.883059
-200.0,200,1.931546
-200.0,200,1.984933
-200.0,200,2.032822
-200.0,200,2.086828
-200.0,200,2.135477
-200.0,200,2.187328
-200.0,200,2.235097
-200.0,200,2.289485
-200.0,200,2.338148
-200.0,200,2.39134
-200.0,200,2.440686
-200.0,200,2.495064
-200.0,200,2.542923
-200.0,200,2.596379
-200.0,200,2.644899
-200.0,200,2.698149
-200.0,200,2.746475
-200.0,200,2.798196
-200.0,200,2.845876
-200.0,200,2.900881
-200.0,200,2.948971
-200.0,200,3.001438
-200.0,200,3.05012
-200.0,200,3.10394
-200.0,200,3.152685
-200.0,200,3.205419
-200.0,200,3.253495
-200.0,200,3.307881
-200.0,200,3.356957
-200.0,200,3.40859
-200.0,200,3.456559
-200.0,200,3.510624
-200.0,200,3.558664
-200.0,200,3.610114
-200.0,200,3.661034
-200.0,200,3.724319
-200.0,200,3.774394
-200.0,200,3.8282
-200.0,200,3.876266
-200.0,200,3.929875
-200.0,200,3.98065
-200.0,200,4.035273
-200.0,200,4.086715
-200.0,200,4.141542
-200.0,200,4.190097
-200.0,200,4.241877
-200.0,200,4.290921
-200.0,200,4.344706
-200.0,200,4.392625
-200.0,200,4.445141
-200.0,200,4.495503
-200.0,200,4.550007
-200.0,200,4.599321
-200.0,200,4.652012
-200.0,200,4.700928
-200.0,200,4.756335
-200.0,200,4.806687
-200.0,200,4.860332
-200.0,200,4.91058
-200.0,200,4.967835
-200.0,200,5.017941
-200.0,200,5.071376
-200.0,200,5.121831
-200.0,200,5.178032
-200.0,200,5.228857
-200.0,200,5.282838
-200.0,200,5.333508
-200.0,200,5.389979
-200.0,200,5.439967
-200.0,200,5.494087
-200.0,200,5.543582
-200.0,200,5.599201
-200.0,200,5.649074
-200.0,200,5.702885
-200.0,200,5.752884
-200.0,200,5.807845
-200.0,200,5.857455
-200.0,200,5.9112
-200.0,200,5.961229
-200.0,200,6.018401
-200.0,200,6.068713
-200.0,200,6.123567
-200.0,200,6.174346
-200.0,200,6.23246
-200.0,200,6.284905
-200.0,200,6.339959
-200.0,200,6.391295
-200.0,200,6.449228
-200.0,200,6.498898
-200.0,200,6.552913
-200.0,200,6.60418
-200.0,200,6.660955
-200.0,200,6.7112
-200.0,200,6.76417
-200.0,200,6.814845
-200.0,200,6.870241
-200.0,200,6.920883
-200.0,200,6.975634
-200.0,200,7.025343
-200.0,200,7.081758
-200.0,200,7.132314
-200.0,200,7.187039
-200.0,200,7.238371
-200.0,200,7.295397
-200.0,200,7.346708
-200.0,200,7.401374
-200.0,200,7.452342
-200.0,200,7.509382
-200.0,200,7.560383
-200.0,200,7.616366
-200.0,200,7.667517
-200.0,200,7.725411
-200.0,200,7.776056
